Trade ID,Customer Trade ID,Type,Buy/Sell,CCY Pair,CCY,Near Amount,Far Amount,Rate,Points,Far Rate,Far Points,User Id,Fund Sub,Counterparty,Trade Date Time (GMT),Value Date,Far Value Date,Pricing Method,Status,How Created,How Cancelled,Is Aggressor,Position Id,Position Type
A201407202PB600,80272-20140313-09:23:35.035-0,SP,BUY,GBP/USD,GBP,10000.00,,1.66818,0.0000,,,aace5101,AACE5100,FBGC,13 Mar 2014 09:23:34,17 Mar 2014,,ESP_ORDER,ACTIVE,HUBGIVEUP,,Yes,,
A201407202PB300,80272-20140313-09:23:24.024-0,SP,SELL,GBP/USD,GBP,10000.00,,1.66813,0.0000,,,aace5101,AACE5100,FBGC,13 Mar 2014 09:23:24,17 Mar 2014,,ESP_ORDER,ACTIVE,HUBGIVEUP,,Yes,,
